	sequences per sample	iteration	D1	D3	WC	D5	SW	D4	D6	D2
alpha_rarefaction_11500_6.txt	11500	6	1233.9979567	720.579832458	3939.86793678	337.092756791	502.848918813	255.958717766	367.523727316	932.221843691
alpha_rarefaction_11500_7.txt	11500	7	1205.79986475	797.858523862	4053.24504076	330.03491164	560.393597414	258.446451427	349.96213442	951.247094696
alpha_rarefaction_11500_8.txt	11500	8	1257.8054056	718.88020938	3838.90158187	353.268749507	562.921345857	252.250499868	375.722497174	885.268765248
alpha_rarefaction_11500_9.txt	11500	9	1275.76527117	715.987630705	4396.90832054	346.139367512	550.54893944	276.31147979	353.297943762	881.439251443
alpha_rarefaction_12500_0.txt	12500	0	1303.20787467	727.656780684	4122.03213338	377.084160981	538.126243951	278.453058459	395.545947809	873.084788209
alpha_rarefaction_12500_1.txt	12500	1	1263.10390519	737.211103072	4064.08696917	382.760571298	640.902311256	248.869343262	319.388697901	1012.99188691
alpha_rarefaction_12500_2.txt	12500	2	1304.37306945	792.809582779	3933.55824077	350.294171941	513.360782643	304.812029847	344.464866254	970.440967957
alpha_rarefaction_12500_3.txt	12500	3	1242.95776481	671.549363659	4102.35509609	360.31147979	627.455730839	321.015392024	379.645510851	983.732881423
alpha_rarefaction_12500_4.txt	12500	4	1249.08587987	701.905771741	4243.40898681	351.384518089	539.204777782	332.175920535	412.777516394	895.820414094
alpha_rarefaction_12500_5.txt	12500	5	1261.03204295	689.86023387	3903.28916174	360.983576924	562.478256518	311.43183432	382.077509671	913.457015629
alpha_rarefaction_12500_6.txt	12500	6	1285.37959753	736.046830784	3884.30686751	336.897058264	534.178201825	284.145679215	342.166454334	879.444242873
alpha_rarefaction_12500_7.txt	12500	7	1238.62292039	694.624444184	3849.66930759	330.933265017	559.76984577	315.211977859	377.830315617	864.997597348
alpha_rarefaction_12500_8.txt	12500	8	1220.60295106	784.649965785	3828.82463317	354.082893962	641.69473856	297.910970964	447.552940771	904.937741371
alpha_rarefaction_12500_9.txt	12500	9	1241.58516879	699.118330902	3999.18264478	336.372062749	625.178711603	307.020054035	336.328873951	911.992242765
alpha_rarefaction_13500_0.txt	13500	0	1220.46232558	736.218074268	4373.28650854	365.486511667	558.691109281	348.963293103	408.959405449	941.519334318
alpha_rarefaction_13500_1.txt	13500	1	1312.31243447	707.455623979	4074.3283161	332.179445062	542.015259032	279.444640627	333.038731297	1027.69939477
alpha_rarefaction_13500_2.txt	13500	2	1300.56665891	715.927660188	4007.05421202	352.440586846	563.393597414	290.380522206	407.343728351	1026.0893858
alpha_rarefaction_13500_3.txt	13500	3	1243.8917176	695.477639543	3942.79369256	355.023008571	545.212619063	315.433615738	377.912194948	968.270988125
alpha_rarefaction_13500_4.txt	13500	4	1232.79351542	716.237501577	4119.50644659	345.527724744	615.894969201	299.179233966	354.014974357	943.795785728
alpha_rarefaction_13500_5.txt	13500	5	1239.46232558	763.595323127	4000.89282799	337.840709824	529.398809981	272.384518089	366.895857172	971.627493963
alpha_rarefaction_13500_6.txt	13500	6	1262.28465553	755.028101745	4008.75071563	359.05490334	639.576140158	260.373972494	386.482083807	939.768893241
alpha_rarefaction_13500_7.txt	13500	7	1265.72836884	708.184821779	4159.72613252	362.341108882	603.561139384	327.974194369	344.015952303	1010.14463968
alpha_rarefaction_13500_8.txt	13500	8	1249.4782396	788.552415398	4021.5341514	355.099837608	581.968569528	275.153995659	405.961252024	1003.37852241
alpha_rarefaction_13500_9.txt	13500	9	1247.8390563	676.706137699	3944.01208473	333.179445062	540.015259032	261.049698913	397.391478545	868.294366547
alpha_rarefaction_14500_0.txt	14500	0	1228.755133	699.127158338	4231.21098002	349.449175903	624.029379184	313.313699544	370.361311744	944.31705702
alpha_rarefaction_14500_1.txt	14500	1	1276.87221978	770.527090227	4179.80586903	374.734920215	601.10808973	288.427594858	342.466983419	943.724428353
alpha_rarefaction_14500_2.txt	14500	2	1296.59731458	754.036990471	4016.54865367	354.759457884	509.857477617	324.663364604	395.422749753	997.270433787
alpha_rarefaction_14500_3.txt	14500	3	1292.73305342	798.677187312	4077.25918285	392.075319312	547.726184079	276.878572006	391.064321264	1099.88315525
alpha_rarefaction_14500_4.txt	14500	4	1275.17762606	759.012468102	4100.45684008	390.497520837	554.659628649	288.828320592	454.027678847	966.407542287
alpha_rarefaction_14500_5.txt	14500	5	1234.07899508	719.240438022	4224.46217162	348.842361163	604.048053717	282.139367512	416.060973741	916.280732891
alpha_rarefaction_14500_6.txt	14500	6	1232.74545154	735.175409304	4202.59798991	359.082893962	540.936293412	270.436063137	339.533145951	1026.22266008
alpha_rarefaction_14500_7.txt	14500	7	1317.57783934	693.942292485	4183.79232488	350.73161518	639.329249462	282.162345256	409.86786253	1010.457441
alpha_rarefaction_14500_8.txt	14500	8	1314.99210962	693.428059045	4126.15537105	403.429343233	587.771905513	271.440586846	454.027678847	960.161892046
alpha_rarefaction_14500_9.txt	14500	9	1272.35432277	758.759960559	4208.68043403	350.986431171	534.99185808	320.259925689	358.377925867	1044.10937338
alpha_rarefaction_15500_0.txt	15500	0	1256.82999248	717.083912584	4056.19683407	355.836154079	564.652758717	287.162345256	381.08198485	931.266659649
alpha_rarefaction_15500_1.txt	15500	1	1301.36217988	749.573415588	4172.40666019	353.836154079	552.211782542	291.228894803	446.851091586	984.725427856
alpha_rarefaction_15500_2.txt	15500	2	1262.03786152	739.889181179	4217.33682871	362.037062856	638.625742514	291.266360134	455.673786478	1070.62116829
alpha_rarefaction_15500_3.txt	15500	3	1225.59111977	716.789695227	3959.94615539	365.037062856	583.76984577	263.536177858	415.334438183	941.937741371
alpha_rarefaction_15500_4.txt	15500	4	1265.66470885	752.143552228	4261.00257578	379.543533683	571.864317349	287.828320592	394.397040949	964.851125148
alpha_rarefaction_15500_5.txt	15500	5	1217.81428452	703.108988462	4055.85809865	349.018172986	622.237086314	288.315577353	390.449670865	973.897364185
alpha_rarefaction_15500_6.txt	15500	6	1269.83912909	720.927660188	4220.16656104	372.828320592	541.676919257	295.208795529	472.985130975	1006.9168514
alpha_rarefaction_15500_7.txt	15500	7	1279.60606321	731.827053837	4071.13045515	354.836154079	590.612240006	295.31147979	423.171821815	968.7755564
alpha_rarefaction_15500_8.txt	15500	8	1228.78056115	718.52312188	4045.8114938	364.778255794	600.293805881	288.274893165	366.554911929	1015.11417319
alpha_rarefaction_15500_9.txt	15500	9	1242.40707247	743.14466256	4031.13415248	357.483508362	508.601479568	289.189266942	369.663167647	1037.33501782
alpha_rarefaction_16500_0.txt	16500	0	1285.8638644	736.506909314	4174.79958025	364.436063137	574.688159873	275.835918762	432.911500879	948.222909787
alpha_rarefaction_16500_1.txt	16500	1	1256.50490421	700.203332658	4116.22729343	376.497886939	568.050237488	300.291033174	362.124558562	975.458118296
alpha_rarefaction_16500_2.txt	16500	2	1301.89493722	746.506909314	4181.0786913	408.406053404	576.054083075	265.048897948	358.820844651	977.346753684
alpha_rarefaction_16500_3.txt	16500	3	1257.36649626	724.71852965	4105.19683407	362.141238638	592.76984577	254.625434748	421.060973741	937.263801877
alpha_rarefaction_16500_4.txt	16500	4	1278.4776642	757.23819044	4195.46877832	356.591783009	580.402867055	282.099331723	335.760536326	979.287774615
alpha_rarefaction_16500_5.txt	16500	5	1268.79739158	758.919609902	4086.93093447	387.389387593	633.992298115	312.027922067	365.436203403	957.914155198
