site,genome,domain,phylum,class,order,family,genus,species
D5,35,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Thioalkalivibrionaceae,Thioalkalivibrio,GCF_000025545.1
D5,46,Bacteria,Patescibacteria,,,,,
D5,45,Bacteria,Patescibacteria,Kazan,,,,
D5,18,Bacteria,Patescibacteria,Paceibacteria,UBA6257,Jorgensenbacteraceae,,
D5,37,Bacteria,Patescibacteria,Paceibacteria,UBA6257,,,
D5,41,Bacteria,Patescibacteria,Paceibacteria,UBA6257,Brennerbacteraceae,,
D5,43,Bacteria,Patescibacteria,Paceibacteria,UBA9983,UBA9983,,
D5,31,Bacteria,Patescibacteria,Paceibacteria,Paceibacterales,GBS-2,,
D5,22,Bacteria,Patescibacteria,Paceibacteria,Paceibacterales,GBS-2,,
D5,21,Bacteria,Patescibacteria,ABY1,GCA-002771165,,,
D5,10,Bacteria,Eremiobacterota,Eremiobacteria,Eremiobacterales,,,
D5,16,Bacteria,Bipolaricaulota,Bipolaricaulia,Bipolaricaulales,Bipolaricaulaceae,Bipolaricaulis,
D5,58,Bacteria,Actinobacteriota,RBG-13-55-18,ctinobacteria-3,ctinobacteria-3,,
D5,5,Bacteria,Actinobacteriota,RBG-13-55-18,ctinobacteria-3,ctinobacteria-3,,
D5,59,Bacteria,Actinobacteriota,UBA9087,UBA10029,UBA10029,UBA10029,
D5,36,Bacteria,Firmicutes_B,Desulfotomaculia,Desulfotomaculales,BRHc4a,,
D5,3,Bacteria,Firmicutes_B,Desulfotomaculia,Desulfotomaculales,,,
D5,38,Bacteria,Firmicutes_B,Desulfotomaculia,Ammonifexales,Ammonificaceae,,
D5,7,Bacteria,Firmicutes_B,Desulfotomaculia,Ammonifexales,Ammonificaceae,,
D5,25,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,,
D5,9,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,UBA1562,
D5,20,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,UBA1562,
D5,14,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,,
D5,15,Bacteria,Omnitrophota,koll11,,,,
D5,33,Bacteria,UBA9089,UBA9088,UBA9088,,,
D5,42,Bacteria,Elusimicrobiota,Endomicrobia,Elusimicrobia-1,Elusimicrobia-1,Elusimicrobia-1,
D5,39,Bacteria,Elusimicrobiota,Elusimicrobia,Elusimicrobiales,UBA9959,UBA2231,
D5,8,Bacteria,Gemmatimonadota,GCA-2686955,,,,
D5,30,Bacteria,UBP1,PRR-12,,,,
D5,6,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,Ignavibacterium,
D5,4,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,UBA2336,
D5,12,Bacteria,Planctomycetota,Brocadiae,,,,
