site,domain,phylum,class,order,family,genus,species,abundance
D5,Bacteria,Actinobacteriota,RBG-13-55-18,ctinobacteria-3,ctinobacteria-3,,,2
D5,Bacteria,Actinobacteriota,UBA9087,UBA10029,UBA10029,UBA10029,,1
D5,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,UBA2336,,1
D5,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,Ignavibacterium,,1
D5,Bacteria,Bipolaricaulota,Bipolaricaulia,Bipolaricaulales,Bipolaricaulaceae,Bipolaricaulis,,1
D5,Bacteria,Desulfobacterota,BSN033,BSN033,UBA1163,,,1
D5,Bacteria,Desulfobacterota,BSN033,BSN033,UBA1163,RBG-16-49-23,,1
D5,Bacteria,Desulfobacterota,BSN033,UBA8473,UBA8473,UBA8473,,1
D5,Bacteria,Desulfobacterota,Desulfobaccia,Desulfobaccales,0-14-0-80-60-11,,,1
D5,Bacteria,Desulfobacterota,Desulfobacteria,Desulfatiglanales,HGW-15,,,1
D5,Bacteria,Elusimicrobiota,Elusimicrobia,Elusimicrobiales,UBA9959,UBA2231,,1
D5,Bacteria,Elusimicrobiota,Endomicrobia,Elusimicrobia-1,Elusimicrobia-1,Elusimicrobia-1,,1
D5,Bacteria,Eremiobacterota,Eremiobacteria,Eremiobacterales,,,,1
D5,Bacteria,Firmicutes_B,Desulfotomaculia,Ammonifexales,Ammonificaceae,,,2
D5,Bacteria,Firmicutes_B,Desulfotomaculia,Desulfotomaculales,,,,1
D5,Bacteria,Firmicutes_B,Desulfotomaculia,Desulfotomaculales,BRHc4a,,,1
D5,Bacteria,Gemmatimonadota,GCA-2686955,,,,,1
D5,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,SM23-35,,,2
D5,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA9935,,,1
D5,Bacteria,Omnitrophota,koll11,,,,,1
D5,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,,,2
D5,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,UBA1562,,2
D5,Bacteria,Patescibacteria,,,,,,1
D5,Bacteria,Patescibacteria,ABY1,GCA-002771165,,,,1
D5,Bacteria,Patescibacteria,Kazan,,,,,1
D5,Bacteria,Patescibacteria,Paceibacteria,Paceibacterales,GBS-2,,,2
D5,Bacteria,Patescibacteria,Paceibacteria,UBA6257,,,,1
D5,Bacteria,Patescibacteria,Paceibacteria,UBA6257,Brennerbacteraceae,,,1
D5,Bacteria,Patescibacteria,Paceibacteria,UBA6257,Jorgensenbacteraceae,,,1
D5,Bacteria,Patescibacteria,Paceibacteria,UBA9983,UBA9983,,,1
D5,Bacteria,Planctomycetota,Brocadiae,,,,,1
D5,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,Parvibaculaceae,Parvibaculum,,1
D5,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,,,1
D5,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,,1
D5,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,,,1
D5,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Hydrogenophilaceae,,,1
D5,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Hydrogenophilaceae,UBA3361,,1
D5,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,,,2
D5,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,UBA2250,,1
D5,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Thioalkalivibrionaceae,Thioalkalivibrio,GCF_000025545.1,1
D5,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Ketobacteraceae,,,1
D5,Bacteria,Proteobacteria,Gammaproteobacteria,UBA5335,UBA5335,,,1
D5,Bacteria,UBA9089,UBA9088,UBA9088,,,,1
D5,Bacteria,UBP1,PRR-12,,,,,1
D5,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Didemnitutus,,1
D6,Bacteria,Actinobacteriota,RBG-13-55-18,RBG-13-55-18,RBG-13-55-18,,,1
D6,Bacteria,Armatimonadota,,,,,,1
D6,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,F082,UBA6192,,1
D6,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,,,1
D6,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,,,1
D6,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,,,4
D6,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,XYB12-FULL-38-5,,1
D6,Bacteria,Bacteroidota,Kapabacteria,Kapabacteriales,XYC2-FULL-35-21,,,1
D6,Bacteria,Bipolaricaulota,Bipolaricaulia,Bipolaricaulales,Bipolaricaulaceae,Bipolaricaulis,,1
D6,Bacteria,Chloroflexota,,,,,,1
D6,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,,,3
D6,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA4781,,2
D6,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA5211,,2
D6,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA6170,,1
D6,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA6170,UBA6170 sp1,1
D6,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA8523,,2
D6,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,envOPS12,,,2
D6,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,envOPS12,OLB14,,1
